,loss,lr,average_reward,num_buy,num_sell,num_hold
223,1.0261788702337071e-05,0.001,-0.0005755813326686621,6,13,45
224,3.194992814314901e-06,0.001,-0.0010898301843553782,7,9,48
225,1.124855498346733e-05,0.001,0.0033124417532235384,8,14,42
226,1.146208705904428e-05,0.001,0.0017271001124754548,6,9,49
227,1.1473278391349595e-05,0.001,0.0017838815692812204,7,10,47
228,2.001426400966011e-05,0.001,0.0013530707219615579,11,13,40
229,1.3097994269628543e-05,0.001,0.0010904157534241676,8,8,48
230,2.2352294763550162e-05,0.001,0.004560904577374458,13,6,45
231,1.5633289876859635e-05,0.001,-0.0009186267852783203,7,8,49
232,1.416494524164591e-05,0.001,-0.004508095793426037,9,6,49
233,1.1622825695667416e-05,0.001,0.0007700318237766623,10,8,46
234,1.3471469173964579e-05,0.001,0.0013637201627716422,12,8,44
235,8.739036275073886e-06,0.001,0.001823650673031807,11,8,45
236,2.8039603421348147e-06,0.001,-0.0003181620850227773,7,9,48
237,8.516951311321463e-06,0.001,0.004558846354484558,7,7,50
238,1.0963454769807868e-05,0.001,0.0038255024701356888,5,7,52
239,1.2274354958208278e-05,0.001,0.0015997309237718582,10,8,46
240,1.931440237967763e-05,0.001,0.0005911746411584318,11,12,41
241,1.7581933207111433e-05,0.001,-0.001033951179124415,7,10,47
242,5.584716745943297e-06,0.001,-0.0031399326398968697,8,7,49
243,1.9877776139765047e-05,0.001,0.0037638433277606964,12,9,43
244,2.794239298964385e-05,0.001,0.0004985596751794219,14,7,43
245,1.5197249012999237e-05,0.001,0.0011998007539659739,13,11,40
246,1.202464773086831e-05,0.001,0.002297369297593832,7,9,48
247,1.3584110092779156e-05,0.001,-0.0032442165538668633,9,6,49
248,8.228426850109827e-06,0.001,0.002863704226911068,7,14,43
249,6.7900659814768005e-06,0.001,-0.0004214976797811687,8,8,48
250,8.495389010931831e-06,0.001,0.0023923791013658047,11,7,46
251,6.497308277175762e-06,0.001,-0.0025078647304326296,10,7,47
252,1.8533524780650623e-05,0.001,0.002331992145627737,12,9,43
253,1.6215923096751794e-05,0.001,0.00164264184422791,7,13,44
254,2.5235849534510635e-05,0.001,0.002565898234024644,12,7,45
255,3.860051947413012e-06,0.001,0.0006418907432816923,9,5,50
256,3.848579126497498e-06,0.001,-0.002993488684296608,7,6,51
257,3.1228703392116586e-06,0.001,0.002840660512447357,8,7,49
258,1.6306670659105293e-05,0.001,-0.00132807157933712,9,6,49
259,1.499904647062067e-05,0.001,-0.0029864804819226265,9,13,42
260,7.85425891081104e-06,0.001,1.536821946501732e-05,10,5,49
261,7.451973942806944e-06,0.001,0.0012331634061411023,5,11,48
262,2.0874418623861857e-05,0.001,-0.0009069155203178525,11,10,43
263,1.4428805116040166e-05,0.001,-0.00021782575640827417,10,6,48
264,1.810754110920243e-05,0.001,0.0004983440740033984,10,8,46
265,2.7866756227012957e-06,0.001,0.0008872776525095105,10,8,46
266,4.884829650109168e-06,0.001,0.0009815701050683856,14,11,39
267,9.11582446860848e-06,0.001,0.002135691698640585,10,8,46
268,7.582036687381333e-06,0.001,0.0006156685412861407,6,8,50
269,3.1320805646828376e-06,0.001,0.0038243995513767004,7,9,48
